PlotID,PlotType,X0,X1,DX,Xtype,Y0,Y1,DY,Ytype,DataList,Labels,Grid,ColorPlanes
Jupiter-20210923UT-RGBa,Map,-180.,-90.,30.,lin,-45,45,30,lin,2021-09-23-0442_4-Jupiter-Wavelets-RAllGB-WhtBal-ClrSmth-WhtBal-Wavelets_Jupiter-AmmoniaMaps_MAP-BARE.png,True,True,RGB,
Jupiter-20210923UT-RGBmonoa,Map,-180.,-90.,30.,lin,-45,45,30,lin,2021-09-23-0442_4-Jupiter-Wavelets-RAllGBMono-WhtBal-ClrSmth-WhtBal-Wavelets_Jupiter-AmmoniaMaps_MAP-BARE.png,True,True,Grey,
Jupiter-20210923UT-ClrSlpa,Map,-180.,-90.,30.,lin,-45,45,30,lin,2021-09-23-0434_5-Jupiter-Wavelets-ClrSlp-632over656-0.9to1.1scale_Jupiter-AmmoniaMaps_MAP-BARE.png,True,True,Grey,
Jupiter-20210923UT-NH3AbsAvga,Map,-180.,-90.,30.,lin,-45,45,30,lin,2021-09-23-0434_5-Jupiter-Wavelets-NH3AbsAvg(632+656)-0.9to1.1scale_Jupiter-AmmoniaMaps_MAP-BARE.png,True,True,Grey,
Jupiter-20210923UT-889CH4a,Map,-180.,-90.,30.,lin,-45,45,30,lin,2021-09-23-0505_3-Jupiter_889CH4-Wavelets-Derot-Stack_Jupiter-AmmoniaMaps_MAP-BARE.png,True,True,Grey,
Jupiter-20210923UT-380NUVa,Map,-180.,-90.,30.,lin,-45,45,30,lin,2021-09-23-0453_6-Jupiter_380NUV-Wavelets-Derot-Stack_Jupiter-AmmoniaMaps_MAP-BARE.png,True,True,Grey,

Jupiter-20210923UT-RGBb,Map,90.,180.,30.,lin,-45,45,30,lin,2021-09-23-0442_4-Jupiter-Wavelets-RAllGB-WhtBal-ClrSmth-WhtBal-Wavelets_Jupiter-AmmoniaMaps_MAP-BARE.png,True,True,RGB,
Jupiter-20210923UT-RGBmonob,Map,90.,180.,30.,lin,-45,45,30,lin,2021-09-23-0442_4-Jupiter-Wavelets-RAllGBMono-WhtBal-ClrSmth-WhtBal-Wavelets_Jupiter-AmmoniaMaps_MAP-BARE.png,True,True,Grey,
Jupiter-20210923UT-ClrSlpb,Map,90.,180.,30.,lin,-45,45,30,lin,2021-09-23-0434_5-Jupiter-Wavelets-ClrSlp-632over656-0.9to1.1scale_Jupiter-AmmoniaMaps_MAP-BARE.png,True,True,Grey,
Jupiter-20210923UT-NH3AbsAvgb,Map,90.,180.,30.,lin,-45,45,30,lin,2021-09-23-0434_5-Jupiter-Wavelets-NH3AbsAvg(632+656)-0.9to1.1scale_Jupiter-AmmoniaMaps_MAP-BARE.png,True,True,Grey,
Jupiter-20210923UT-889CH4b,Map,90.,180.,30.,lin,-45,45,30,lin,2021-09-23-0505_3-Jupiter_889CH4-Wavelets-Derot-Stack_Jupiter-AmmoniaMaps_MAP-BARE.png,True,True,Grey,
Jupiter-20210923UT-380NUVb,Map,90.,180.,30.,lin,-45,45,30,lin,2021-09-23-0453_6-Jupiter_380NUV-Wavelets-Derot-Stack_Jupiter-AmmoniaMaps_MAP-BARE.png,True,True,Grey,

Jupiter-20210926UT-RGBw,Map,36.,126.,30.,lin,-45,45,30,lin,2021-09-26-0441_9-Jupiter-Wavelets-RAllGB-RGB-WhtBal-ClrSmth-Smth-Wavelets__MAP-BARE.png,True,True,RGB,
Jupiter-20210926UT-RGBmonow,Map,36.,126.,30.,lin,-45,45,30,lin,2021-09-26-0441_9-Jupiter-Wavelets-RAllGB-RGBMono-WhtBal-ClrSmth-Smth-Wavelets__MAP-BARE.png,True,True,Grey,
Jupiter-20210926UT-ClrSlpw,Map,36.,126.,30.,lin,-45,45,30,lin,2021-09-26-0433_1-Jupiter-Wavelets-ClrSlp-632over656-0.9to1.1scale__MAP-BARE.png,True,True,Grey,
Jupiter-20210926UT-NH3AbsAvgw,Map,36.,126.,30.,lin,-45,45,30,lin,2021-09-26-0433_1-Jupiter-Wavelets-NH3AbsAvg(632+656)-0.9to1.1scale__MAP-BARE.png,True,True,Grey,
Jupiter-20210926UT-380NUVw,Map,36.,126.,30.,lin,-45,45,30,lin,2021-09-26-0455_6-Jupiter_380NUV-Wavelets-Derot-Stack__MAP-BARE.png,True,True,Grey,

Jupiter-20210927UT-RGBw,Map,-67.,27.,30.,lin,-45,45,30,lin,2021-09-27-0319_8-Jupiter-Wavelets-R(ALL)GB-WV-RGB-WhtBal-ClrSmth-Smth-Wavelets__MAP-BARE.png,True,True,RGB,
Jupiter-20210927UT-RGBmonow,Map,-67.,27.,30.,lin,-45,45,30,lin,2021-09-27-0319_8-Jupiter-Wavelets-R(ALL)GB-WV-RGBMono-WhtBal-ClrSmth-Smth-Wavelets__MAP-BARE.png,True,True,Grey,
Jupiter-20210927UT-ClrSlpw,Map,-67.,27.,30.,lin,-45,45,30,lin,2021-09-27-0312_1-Jupiter-Wavelets-ClrSlp-632over656-0.9to1.1scale__MAP-BARE.png,True,True,Grey,
Jupiter-20210927UT-NH3AbsAvgw,Map,-67.,27.,30.,lin,-45,45,30,lin,2021-09-27-0312_1-Jupiter-Wavelets-NH3AbsAvg(632+656)-0.9to1.1scale__MAP-BARE.png,True,True,Grey,
Jupiter-20210927UT-889CH4w,Map,-67.,27.,30.,lin,-45,45,30,lin,2021-09-27-0336_8-Jupiter_889CH4-WV-DR-ST__MAP-BARE.png,True,True,Grey,
Jupiter-20210927UT-380NUVw,Map,-67.,27.,30.,lin,-45,45,30,lin,2021-09-27-0329_0-Jupiter_380NUV-WV-DR-ST__MAP-BARE.png,True,True,Grey,

Jupiter-20211017UT-RGBa,Map,-180.,-90.,30.,lin,-45,45,30,lin,2021-10-17-0352_1-Jupiter-Wavelets-R685GB-WV-RGB-WhtBal-ClrSmth-Smth-Wavelets__MAP-BARE.png,True,True,RGB,
Jupiter-20211017UT-RGBmonoa,Map,-180.,-90.,30.,lin,-45,45,30,lin,2021-10-17-0352_1-Jupiter-Wavelets-R685GB-WV-RGBMono-WhtBal-ClrSmth-Smth-Wavelets__MAP-BARE.png,True,True,Grey,
Jupiter-20211017UT-ClrSlpa,Map,-180.,-90.,30.,lin,-45,45,30,lin,2021-10-17-0405_0-Jupiter-Wavelets-ClrSlp-632over656-0.9to1.1scale__MAP-BARE.png,True,True,Grey,
Jupiter-20211017UT-NH3AbsAvga,Map,-180.,-90.,30.,lin,-45,45,30,lin,2021-10-17-0405_0-Jupiter-Wavelets-NH3AbsAvg(632+656)-0.9to1.1scale__MAP-BARE.png,True,True,Grey,
Jupiter-20211017UT-889CH4a,Map,-180.,-90.,30.,lin,-45,45,30,lin,2021-10-17-0421_4-Jupiter_889CH4-WV-DR-ST__MAP-BARE.png,True,True,Grey,

Jupiter-20211017UT-RGBb,Map,90.,180.,30.,lin,-45,45,30,lin,2021-10-17-0352_1-Jupiter-Wavelets-R685GB-WV-RGB-WhtBal-ClrSmth-Smth-Wavelets__MAP-BARE.png,True,True,RGB,
Jupiter-20211017UT-RGBmonob,Map,90.,180.,30.,lin,-45,45,30,lin,2021-10-17-0352_1-Jupiter-Wavelets-R685GB-WV-RGBMono-WhtBal-ClrSmth-Smth-Wavelets__MAP-BARE.png,True,True,Grey,
Jupiter-20211017UT-ClrSlpb,Map,90.,180.,30.,lin,-45,45,30,lin,2021-10-17-0405_0-Jupiter-Wavelets-ClrSlp-632over656-0.9to1.1scale__MAP-BARE.png,True,True,Grey,
Jupiter-20211017UT-NH3AbsAvgb,Map,90.,180.,30.,lin,-45,45,30,lin,2021-10-17-0405_0-Jupiter-Wavelets-NH3AbsAvg(632+656)-0.9to1.1scale__MAP-BARE.png,True,True,Grey,
Jupiter-20211017UT-889CH4b,Map,90.,180.,30.,lin,-45,45,30,lin,2021-10-17-0421_4-Jupiter_889CH4-WV-DR-ST__MAP-BARE.png,True,True,Grey,

Jupiter-20211019UT-RGBw,Map,-165.,-75.,30.,lin,-45,45,30,lin,2021-10-19-0414_7-Jupiter-Wavelets-R685GB-WV-RGB-WhtBal-ClrSmth-Smth-Wavelets__MAP-BARE.png,True,True,RGB,
Jupiter-20211019UT-RGBmonow,Map,-165.,-75.,30.,lin,-45,45,30,lin,2021-10-19-0414_7-Jupiter-Wavelets-R685GB-WV-RGBMono-WhtBal-ClrSmth-Smth-Wavelets__MAP-BARE.png,True,True,Grey,
Jupiter-20211019UT-ClrSlpw,Map,-165.,-75.,30.,lin,-45,45,30,lin,2021-10-19-0405_6-Jupiter-Wavelets-ClrSlp-632over-656-0.9to1.1scale__MAP-BARE.png,True,True,Grey,
Jupiter-20211019UT-NH3AbsAvgw,Map,-165.,-75.,30.,lin,-45,45,30,lin,2021-10-19-0405_6-Jupiter-Wavelets-NH3AbsAvg(632+656)-0.9to1.1scale__MAP-BARE.png,True,True,Grey,
Jupiter-20211019UT-889CH4w,Map,-165.,-75.,30.,lin,-45,45,30,lin,2021-10-19-0436_7-Jupiter_889CH4-WV-DR-ST__MAP-BARE.png,True,True,Grey,

Jupiter-20211022UT-RGBa,Map,-180.,-90.,30.,lin,-45,45,30,lin,2021-10-22-0316_5-Jupiter-Wavelets-R685GB-WV-RGB-WhtBal-ClrSmth-Smth-Wavelets__MAP-BARE.png,True,True,RGB,
Jupiter-20211022UT-RGBmonoa,Map,-180.,-90.,30.,lin,-45,45,30,lin,2021-10-22-0316_5-Jupiter-Wavelets-R685GB-WV-RGBMono-WhtBal-ClrSmth-Smth-Wavelets__MAP-BARE.png,True,True,Grey,
Jupiter-20211022UT-ClrSlpa,Map,-180.,-90.,30.,lin,-45,45,30,lin,2021-10-22-0316_3-Jupiter-Wavelets-ClrSlp-632over656-0.9to1.1scale__MAP-BARE.png,True,True,Grey,
Jupiter-20211022UT-NH3AbsAvga,Map,-180.,-90.,30.,lin,-45,45,30,lin,2021-10-22-0316_3-Jupiter-Wavelets-NH3AbsAvg(632+656)-0.9to1.1scale__MAP-BARE.png,True,True,Grey,
Jupiter-20211022UT-889CH4a,Map,-180.,-90.,30.,lin,-45,45,30,lin,2021-10-22-0345_2-Jupiter_889CH4-WV-DR-ST__MAP-BARE.png,True,True,Grey,

Jupiter-20211022UT-RGBb,Map,90.,180.,30.,lin,-45,45,30,lin,2021-10-22-0316_5-Jupiter-Wavelets-R685GB-WV-RGB-WhtBal-ClrSmth-Smth-Wavelets__MAP-BARE.png,True,True,RGB,
Jupiter-20211022UT-RGBmonob,Map,90.,180.,30.,lin,-45,45,30,lin,2021-10-22-0316_5-Jupiter-Wavelets-R685GB-WV-RGBMono-WhtBal-ClrSmth-Smth-Wavelets__MAP-BARE.png,True,True,Grey,
Jupiter-20211022UT-ClrSlpb,Map,90.,180.,30.,lin,-45,45,30,lin,2021-10-22-0316_3-Jupiter-Wavelets-ClrSlp-632over656-0.9to1.1scale__MAP-BARE.png,True,True,Grey,
Jupiter-20211022UT-NH3AbsAvgb,Map,90.,180.,30.,lin,-45,45,30,lin,2021-10-22-0316_3-Jupiter-Wavelets-NH3AbsAvg(632+656)-0.9to1.1scale__MAP-BARE.png,True,True,Grey,
Jupiter-20211022UT-889CH4b,Map,90.,180.,30.,lin,-45,45,30,lin,2021-10-22-0345_2-Jupiter_889CH4-WV-DR-ST__MAP-BARE.png,True,True,Grey,


